,studentid,firstname,familyname,school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,finalgrade,absences_category,no_studytime,walc_percent,goout_percent,no_studytime_percent,absences_category_percent,accompanying_complexity,fail
122,122,Duarte,Chavis,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,0,3,40.0,40.0,75.0,0.0,31.0,0
123,123,Rafael,Sago,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,13,1,4,80.0,80.0,100.0,100.0,92.0,0
124,124,Gonçalo,Duarte,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0,8,0,3,20.0,80.0,75.0,0.0,35.0,1
125,125,Maria,Montalvo,GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,12,0,4,40.0,100.0,100.0,0.0,48.0,0
126,126,Camila,Vas,GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,11,0,3,20.0,40.0,75.0,0.0,27.0,0
127,127,João,Sales,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,9,0,3,20.0,40.0,75.0,0.0,27.0,1
128,129,Clara,Paes,GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,1,4,100.0,100.0,100.0,100.0,100.0,0
129,132,Miguel,Orta,GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12,12,1,4,60.0,80.0,100.0,100.0,88.0,0
130,133,Alice,Reza,GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,16,11,1,4,80.0,20.0,100.0,100.0,80.0,0
131,138,Afonso,Alvarenga,GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,12,0,3,60.0,80.0,75.0,0.0,43.0,0
132,139,Miguel,Pinheiro,GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,15,0,4,20.0,40.0,100.0,0.0,32.0,0
133,141,Guilherme,Ferra,GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,8,9,1,4,40.0,60.0,100.0,100.0,80.0,1
134,142,Benedita,Faria,GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,11,0,2,20.0,40.0,50.0,0.0,22.0,0
135,143,Sofia,Serrao,GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,2,13,0,4,60.0,80.0,100.0,0.0,48.0,0
136,145,Tomás,Nicolau,GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,2,5,0,11,0,3,40.0,40.0,75.0,0.0,31.0,0
137,147,Salvador,Marcelo,GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,5,2,11,0,3,20.0,40.0,75.0,0.0,27.0,0
138,149,Lara,Cardoso,GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,10,0,4,100.0,100.0,100.0,0.0,60.0,1
139,151,Martim,Vasconcelos,GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,14,0,4,100.0,80.0,100.0,0.0,56.0,0
140,152,Maria,Fortes,GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,1,2,60.0,20.0,50.0,100.0,66.0,1
141,154,Joana,Espinola,GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,12,0,4,20.0,20.0,100.0,0.0,28.0,0
142,155,Salvador,Cuba,GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,2,8,0,3,20.0,80.0,75.0,0.0,35.0,1
143,156,Maria,Socia,GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,8,13,1,4,60.0,40.0,100.0,100.0,80.0,0
144,157,Gonçalo,Mattos,GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,10,0,4,100.0,100.0,100.0,0.0,60.0,1
145,158,Rafael,Peres,GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,15,0,4,40.0,40.0,100.0,0.0,36.0,0
146,159,Lucas,Prata,GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,4,12,0,3,80.0,100.0,75.0,0.0,51.0,0
147,161,Pedro,Fonte,GP,M,15,R,GT3,T,3,2,other,other,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,6,7,0,3,80.0,80.0,75.0,0.0,47.0,1
148,163,Gonçalo,Moreira,GP,M,17,U,GT3,T,1,3,at_home,services,course,father,1,1,0,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,2,10,0,4,80.0,60.0,100.0,0.0,48.0,1
149,164,Rodrigo,Miguez,GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0,7,0,3,100.0,100.0,75.0,0.0,55.0,1
150,165,Madalena,Matheus,GP,M,16,U,GT3,T,3,2,services,services,course,mother,2,1,1,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,16,12,1,4,20.0,40.0,100.0,100.0,72.0,0
151,166,Duarte,Monge,GP,M,16,U,GT3,T,2,2,other,other,course,father,1,2,0,no,no,no,no,yes,no,yes,no,4,3,5,2,4,4,4,10,0,3,80.0,100.0,75.0,0.0,51.0,1
152,167,Francisca,Constancio,GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,1,1,3,0,16,0,3,20.0,60.0,75.0,0.0,31.0,0
153,169,Rodrigo,Rapozo,GP,F,16,U,GT3,T,4,4,health,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,1,1,3,0,14,0,3,20.0,40.0,75.0,0.0,27.0,0
154,171,Gustavo,Agre,GP,M,16,U,GT3,T,1,0,other,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,2,16,0,3,20.0,40.0,75.0,0.0,27.0,0
155,172,Tiago,Pinto,GP,M,17,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,5,0,10,0,3,60.0,80.0,75.0,0.0,43.0,1
156,174,Joana,Mendes,GP,F,16,U,LE3,T,3,3,other,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,1,4,4,9,0,3,20.0,100.0,75.0,0.0,39.0,1
157,175,Lucas,Peru,GP,M,17,U,LE3,T,4,3,teacher,other,course,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,4,4,4,4,9,0,3,80.0,80.0,75.0,0.0,47.0,1
158,176,Leonor,Palma,GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,2,2,0,no,no,yes,yes,no,yes,yes,no,3,4,4,1,4,5,2,11,0,3,80.0,80.0,75.0,0.0,47.0,0
159,177,Rafael,Paiva,GP,M,17,U,GT3,T,3,3,other,other,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,4,4,6,0,3,80.0,80.0,75.0,0.0,47.0,1
160,178,Sofia,Porto,GP,M,16,R,GT3,T,4,2,teacher,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,3,4,3,10,9,1,4,80.0,60.0,100.0,100.0,88.0,1
161,179,Diana,Maia,GP,M,17,U,GT3,T,4,3,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,2,3,1,1,2,4,11,0,3,20.0,60.0,75.0,0.0,31.0,0
162,180,Pedro,Tavares,GP,M,16,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,10,8,1,3,60.0,60.0,75.0,100.0,79.0,1
163,181,Afonso,Pimenta,GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,3,2,12,0,3,40.0,60.0,75.0,0.0,35.0,0
164,182,Joana,Braz,GP,F,17,U,GT3,T,2,4,services,services,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,no,5,4,2,2,3,5,0,17,0,3,60.0,40.0,75.0,0.0,35.0,0
165,183,Alice,Pesqueira,GP,F,17,U,LE3,T,3,3,other,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,3,3,2,3,1,56,8,1,3,60.0,60.0,75.0,100.0,79.0,1
166,184,Camila,Lopes,GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,1,2,2,1,2,1,14,12,1,3,40.0,40.0,75.0,100.0,71.0,0
167,185,Gustavo,Fontes,GP,M,17,U,GT3,T,3,3,services,services,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,2,3,4,12,11,1,3,60.0,80.0,75.0,100.0,83.0,0
168,186,Alice,Evora,GP,M,16,U,GT3,T,1,2,services,services,other,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,3,1,2,3,2,11,0,4,40.0,60.0,100.0,0.0,40.0,0
169,187,Ana,Castelo,GP,M,16,U,LE3,T,2,1,other,other,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,5,0,15,0,3,40.0,60.0,75.0,0.0,35.0,0
170,188,Alice,Galioto,GP,F,17,U,GT3,A,3,3,health,other,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,3,3,3,1,3,3,6,9,0,3,60.0,60.0,75.0,0.0,39.0,1
171,189,Gabriel,Figueiredo,GP,M,17,R,GT3,T,1,2,at_home,other,home,mother,1,2,0,no,no,no,no,yes,yes,no,no,3,1,3,1,5,3,4,10,0,3,100.0,60.0,75.0,0.0,47.0,1
172,190,Clara,Rodarte,GP,F,16,U,GT3,T,2,3,services,services,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,2,10,13,1,3,20.0,60.0,75.0,100.0,71.0,0
173,191,Maria,Limas,GP,F,17,U,GT3,T,1,1,at_home,services,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,1,1,3,0,9,0,3,20.0,60.0,75.0,0.0,31.0,1
174,192,Lourenço,Simao,GP,M,17,U,GT3,T,1,2,at_home,services,other,other,2,2,0,no,no,yes,yes,no,yes,yes,no,4,4,4,4,5,5,12,8,1,3,100.0,80.0,75.0,100.0,91.0,1
175,193,Santiago,Dias,GP,M,16,R,GT3,T,3,3,services,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,3,4,5,8,10,1,4,80.0,40.0,100.0,100.0,84.0,1
176,194,Alice,Madeira,GP,M,16,U,GT3,T,2,3,other,other,home,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,3,3,1,1,3,0,14,0,4,20.0,60.0,100.0,0.0,36.0,0
177,195,Gustavo,Da Cruz,GP,F,17,U,LE3,T,2,4,services,services,course,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,1,1,5,0,15,0,3,20.0,40.0,75.0,0.0,27.0,0
178,196,Lara,Mirante,GP,M,17,U,GT3,T,4,4,services,teacher,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,2,3,1,2,5,4,16,0,4,40.0,60.0,100.0,0.0,40.0,0
179,197,Lucas,De Lacerda,GP,M,16,R,LE3,T,3,3,teacher,other,home,father,3,1,0,no,yes,yes,yes,yes,yes,yes,no,3,3,4,3,5,3,8,10,1,4,100.0,80.0,100.0,100.0,96.0,1
180,198,Lucas,Brasil,GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,2,1,1,no,yes,no,no,yes,yes,yes,no,4,2,4,2,3,2,24,18,1,4,60.0,80.0,100.0,100.0,88.0,0
181,199,Leonor,De Cotis,GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,5,2,1,2,3,0,10,0,3,40.0,40.0,75.0,0.0,31.0,1
182,200,Lucas,Mata,GP,F,16,U,GT3,T,4,3,health,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,1,5,2,2,16,0,3,100.0,100.0,75.0,0.0,55.0,0
183,201,Francisca,Fernandes,GP,F,16,U,GT3,T,2,3,other,other,reputation,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,no,4,4,3,1,3,4,6,10,0,3,60.0,60.0,75.0,0.0,39.0,1
184,202,Madalena,Da Rocha,GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,yes,yes,no,no,yes,no,no,4,4,4,1,3,1,4,10,0,3,60.0,80.0,75.0,0.0,43.0,1
185,203,Matilde,Regalado,GP,F,17,R,GT3,T,2,2,other,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,2,1,2,3,18,6,1,4,40.0,40.0,100.0,100.0,76.0,1
186,204,Clara,Rezendes,GP,F,16,R,GT3,T,2,2,services,services,reputation,mother,2,4,0,no,yes,yes,yes,no,yes,yes,no,5,3,5,1,1,5,6,11,0,1,20.0,100.0,25.0,0.0,29.0,0
187,205,Joana,Ponte,GP,F,17,U,GT3,T,3,4,at_home,services,home,mother,1,3,1,no,yes,yes,no,yes,yes,yes,yes,4,4,3,3,4,5,28,9,1,2,80.0,60.0,50.0,100.0,78.0,1
188,206,Diana,Sa,GP,F,16,U,GT3,A,3,1,services,other,course,mother,1,2,3,no,yes,yes,no,yes,yes,yes,no,2,3,3,2,2,4,5,7,0,3,40.0,60.0,75.0,0.0,35.0,1
189,207,Pedro,Avelar,GP,F,16,U,GT3,T,4,3,teacher,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,1,3,2,1,1,1,10,13,1,3,20.0,40.0,75.0,100.0,67.0,0
190,208,Francisco,Carreira,GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,4,5,6,10,0,4,80.0,40.0,100.0,0.0,44.0,1
191,209,Camila,Flor,GP,F,17,R,GT3,T,4,3,teacher,other,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,2,1,1,4,6,7,0,2,20.0,40.0,50.0,0.0,22.0,1
192,210,Alice,Macedo,GP,F,19,U,GT3,T,3,3,other,other,reputation,other,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,2,3,10,8,1,1,40.0,60.0,25.0,100.0,65.0,1
193,211,Rafael,Naves,GP,M,17,U,LE3,T,4,4,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,3,5,4,5,3,13,13,1,3,100.0,100.0,75.0,100.0,95.0,0
194,212,Gonçalo,Abreu,GP,F,16,U,GT3,A,2,2,other,other,reputation,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,1,1,4,0,14,0,3,20.0,80.0,75.0,0.0,35.0,0
195,213,Gabriel,Pombo,GP,M,18,U,GT3,T,2,2,services,other,home,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,no,4,4,4,2,4,5,15,8,1,3,80.0,80.0,75.0,100.0,87.0,1
196,214,Salvador,Joaquim,GP,F,17,R,LE3,T,4,4,services,other,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,no,5,2,1,1,2,3,12,10,1,4,40.0,20.0,100.0,100.0,72.0,1
197,215,Gabriel,Ruis,GP,F,17,U,LE3,T,3,2,other,other,reputation,mother,2,2,0,no,no,yes,no,yes,yes,yes,no,4,4,4,1,3,1,2,15,0,3,60.0,80.0,75.0,0.0,43.0,0
198,216,Clara,Merenda,GP,F,17,U,GT3,T,4,3,other,other,reputation,mother,1,2,2,no,no,yes,no,yes,yes,yes,yes,3,4,5,2,4,1,22,4,1,3,80.0,100.0,75.0,100.0,91.0,1
199,217,Joana,Texeira,GP,M,18,U,LE3,T,3,3,services,health,home,father,1,2,1,no,yes,yes,no,yes,yes,yes,no,3,2,4,2,4,4,13,8,1,3,80.0,80.0,75.0,100.0,87.0,1
200,218,Margarida,Belo,GP,F,17,U,GT3,T,2,3,at_home,other,home,father,2,1,0,no,yes,yes,no,yes,yes,no,no,3,3,3,1,4,3,3,8,0,4,80.0,60.0,100.0,0.0,48.0,1
201,219,João,Oliveira,GP,F,17,U,GT3,T,2,2,at_home,at_home,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,1,4,4,10,0,2,20.0,60.0,50.0,0.0,26.0,1
202,220,Inês,Ornelas,GP,F,17,R,GT3,T,2,1,at_home,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,1,2,5,2,6,0,3,40.0,100.0,75.0,0.0,43.0,1
203,222,Mariana,Reveles,GP,F,16,U,GT3,T,2,3,services,teacher,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,2,3,1,1,1,3,2,17,0,3,20.0,20.0,75.0,0.0,23.0,0
204,223,João,Souva,GP,M,18,U,GT3,T,2,2,other,other,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,5,5,4,0,13,0,3,100.0,60.0,75.0,0.0,47.0,0
205,224,Sofia,Aparicio,GP,F,16,U,GT3,T,4,4,teacher,services,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,2,1,1,5,0,14,0,2,20.0,40.0,50.0,0.0,22.0,0
206,225,Francisca,Linhares,GP,F,18,R,GT3,T,3,1,other,other,reputation,mother,1,2,1,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,1,4,16,7,1,3,20.0,60.0,75.0,100.0,71.0,1
207,226,João,Rapa,GP,F,17,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,3,3,10,15,1,3,60.0,80.0,75.0,100.0,83.0,0
208,227,Camila,Souto,GP,M,17,U,LE3,T,2,3,services,services,reputation,father,1,2,0,no,yes,yes,no,no,yes,yes,no,5,3,3,1,3,3,2,12,0,3,60.0,60.0,75.0,0.0,39.0,0
209,228,Laura,Sousa,GP,M,18,U,LE3,T,2,1,at_home,other,course,mother,4,2,0,yes,yes,yes,yes,yes,yes,yes,yes,4,3,2,4,5,3,14,9,1,3,100.0,40.0,75.0,100.0,83.0,1
210,229,Duarte,De Lima,GP,F,17,U,GT3,A,2,1,other,other,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,10,12,1,2,40.0,60.0,50.0,100.0,70.0,0
211,230,Inês,Caldeira,GP,F,17,U,LE3,T,4,3,health,other,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,14,14,1,3,40.0,60.0,75.0,100.0,75.0,0
212,231,Madalena,Cal,GP,M,17,R,GT3,T,2,2,other,other,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,1,1,1,4,11,0,3,20.0,40.0,75.0,0.0,27.0,0
213,232,Clara,Netto,GP,M,17,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,1,3,2,14,9,1,3,60.0,100.0,75.0,100.0,87.0,1
214,233,Sofia,Acosta,GP,M,16,U,GT3,T,4,4,health,other,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,4,2,4,1,2,13,0,3,80.0,80.0,75.0,0.0,47.0,0
215,234,Mariana,Maciel,GP,M,16,U,LE3,T,1,1,other,other,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,4,2,1,1,5,18,6,1,3,20.0,40.0,75.0,100.0,67.0,1
216,235,Beatriz,Cassis,GP,M,16,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,2,10,10,1,2,60.0,60.0,50.0,100.0,74.0,1
217,236,Francisco,Raposa,GP,M,17,U,LE3,T,2,2,other,other,home,father,1,2,0,no,no,yes,yes,no,yes,yes,yes,4,4,2,5,5,4,4,13,0,3,100.0,40.0,75.0,0.0,43.0,0
218,237,Lucas,Anes,GP,F,16,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,5,2,1,1,5,20,12,1,4,20.0,40.0,100.0,100.0,72.0,0
219,238,Francisco,Migues,GP,F,17,R,GT3,T,2,1,at_home,services,course,mother,3,2,0,no,no,no,yes,yes,yes,no,no,2,1,1,1,1,3,2,11,0,3,20.0,20.0,75.0,0.0,23.0,0
220,240,Carolina,Pinho,GP,M,17,U,LE3,T,4,3,health,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,2,5,5,1,4,5,14,12,1,3,80.0,100.0,75.0,100.0,91.0,0
221,241,Lucas,Barboza,GP,M,17,R,LE3,A,4,4,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,2,3,4,2,12,0,3,60.0,60.0,75.0,0.0,39.0,0
222,243,Inês,Nunes,GP,M,16,U,GT3,T,4,4,services,services,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,2,1,2,5,0,12,0,4,40.0,40.0,100.0,0.0,36.0,0
223,245,Guilherme,Afonso,GP,M,16,U,GT3,T,2,1,other,other,course,mother,3,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,4,6,18,0,4,20.0,60.0,100.0,0.0,36.0,0
224,246,Martim,Rama,GP,M,17,U,GT3,T,2,3,other,other,course,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,2,2,1,1,2,4,13,0,4,20.0,40.0,100.0,0.0,32.0,0
225,247,Guilherme,Estacio,GP,M,22,U,GT3,T,3,1,services,services,other,mother,1,1,3,no,no,no,no,no,no,yes,yes,5,4,5,5,5,1,16,8,1,4,100.0,100.0,100.0,100.0,100.0,1
226,248,Inês,Broas,GP,M,18,R,LE3,T,3,3,other,services,course,mother,1,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,5,8,5,1,3,60.0,60.0,75.0,100.0,79.0,1
227,249,Rafael,Osorio,GP,M,16,U,GT3,T,0,2,other,other,other,mother,1,1,0,no,no,yes,no,no,yes,yes,no,4,3,2,2,4,5,0,15,0,4,80.0,40.0,100.0,0.0,44.0,0
228,250,Madalena,Criado,GP,M,18,U,GT3,T,3,2,services,other,course,mother,2,1,1,no,no,no,no,yes,no,yes,no,4,4,5,2,4,5,0,8,0,4,80.0,100.0,100.0,0.0,56.0,1
229,251,Mariana,Medeiros,GP,M,16,U,GT3,T,3,3,at_home,other,reputation,other,3,2,0,yes,yes,no,no,no,yes,yes,no,5,3,3,1,3,2,6,10,0,3,60.0,60.0,75.0,0.0,39.0,1
230,252,Tomás,Santa,GP,M,18,U,GT3,T,2,1,services,services,other,mother,1,1,1,no,no,no,no,no,no,yes,no,3,2,5,2,5,5,4,8,0,4,100.0,100.0,100.0,0.0,60.0,1
231,253,Rafael,Rodrigues,GP,M,16,R,GT3,T,2,1,other,other,course,mother,2,1,0,no,no,no,yes,no,yes,no,no,3,3,2,1,3,3,0,8,0,4,60.0,40.0,100.0,0.0,40.0,1
232,254,Mariana,Porro,GP,M,17,R,GT3,T,2,1,other,other,course,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,4,2,2,4,5,0,12,0,4,80.0,40.0,100.0,0.0,44.0,0
233,255,Margarida,Motta,GP,M,17,U,LE3,T,1,1,health,other,course,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,2,5,2,8,0,4,40.0,80.0,100.0,0.0,44.0,1
234,256,Afonso,Furtado,GP,F,17,U,LE3,T,4,2,teacher,services,reputation,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,1,1,4,6,13,0,1,20.0,60.0,25.0,0.0,21.0,0
235,257,Maria,Farias,GP,M,19,U,LE3,A,4,3,services,at_home,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,1,1,1,1,12,11,1,3,20.0,20.0,75.0,100.0,63.0,0
236,258,Francisco,D’Souza,GP,M,18,U,GT3,T,2,1,other,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,2,4,1,2,4,8,14,1,3,40.0,80.0,75.0,100.0,79.0,0
237,260,Beatriz,De Souza,GP,F,18,U,GT3,T,4,3,services,other,home,father,1,2,0,no,yes,yes,no,yes,yes,yes,yes,3,1,2,1,3,2,21,18,1,3,60.0,40.0,75.0,100.0,75.0,0
238,261,Camila,Alves,GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,3,2,8,0,3,20.0,40.0,75.0,0.0,27.0,1
239,262,Afonso,Morgado,GP,M,18,R,GT3,T,3,2,other,other,course,mother,1,3,0,no,no,no,yes,no,yes,no,no,5,3,2,1,1,3,1,12,0,2,20.0,40.0,50.0,0.0,22.0,0
240,263,Salvador,Mora,GP,F,17,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,no,no,yes,no,yes,no,no,3,2,3,1,1,4,4,9,0,2,20.0,60.0,50.0,0.0,26.0,1
241,265,Laura,Nolasco,GP,M,18,R,LE3,A,3,4,other,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,3,4,1,13,17,1,3,80.0,100.0,75.0,100.0,91.0,0
242,266,Francisca,Carreiro,GP,M,17,U,GT3,T,3,1,services,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,4,4,3,4,5,2,10,0,3,80.0,80.0,75.0,0.0,47.0,1
243,267,Afonso,Nora,GP,F,18,R,GT3,T,4,4,teacher,other,reputation,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,4,2,2,4,8,11,1,3,40.0,80.0,75.0,100.0,79.0,0
244,268,Francisca,Monteiro,GP,M,18,U,GT3,T,4,2,health,other,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,3,5,10,10,1,3,60.0,100.0,75.0,100.0,87.0,1
245,270,Martim,Franca,GP,F,19,U,GT3,T,3,3,other,services,home,other,1,2,2,no,yes,yes,yes,yes,yes,yes,no,4,3,5,3,3,5,15,9,1,3,60.0,100.0,75.0,100.0,87.0,1
